For condition '658', Best Medicine ID: 101269, Confidence: 2.247229717214014
For condition '533', Best Medicine ID: 41153, Confidence: 1.8779623819634192
For condition '95', Best Medicine ID: 97909, Confidence: 1.417531262250026
For condition '221', Best Medicine ID: 187351, Confidence: 1.2278461865937085
For condition '207', Best Medicine ID: 179066, Confidence: 1.269340373510379
For condition '103', Best Medicine ID: 99948, Confidence: 1.4590263334843527
For condition '452', Best Medicine ID: 91517, Confidence: 1.7432957831993803
For condition '384', Best Medicine ID: 71083, Confidence: 1.6668972660069685
For condition '114', Best Medicine ID: 181631, Confidence: 1.0843009329139757
For condition '606', Best Medicine ID: 146685, Confidence: 1.363892473995441
For condition '678', Best Medicine ID: 9144, Confidence: 1.9127795017747968
For condition '129', Best Medicine ID: 115193, Confidence: 0.6189292649471745
For condition '21', Best Medicine ID: 18931, Confidence: 1.0328372783635342
For condition '501', Best Medicine ID: 82043, Confidence: 2.1535366933730216
For condition '7', Best Medicine ID: 21404, Confidence: 1.123698117879938
For condition '374', Best Medicine ID: 176157, Confidence: 1.883928096123483
For condition '84', Best Medicine ID: 155311, Confidence: 0.9953979807917757
For condition '153', Best Medicine ID: 207247, Confidence: 1.4808526314924257
For condition '296', Best Medicine ID: 214771, Confidence: 1.4052068324820368
For condition '305', Best Medicine ID: 214746, Confidence: 1.3141767387918653
For condition '169', Best Medicine ID: 190919, Confidence: 1.2456747564129
For condition '461', Best Medicine ID: 117667, Confidence: 1.4273914756538364
For condition '20', Best Medicine ID: 120819, Confidence: 0.9957467074220698
For condition '744', Best Medicine ID: 214633, Confidence: 2.063719128944465
For condition '522', Best Medicine ID: 230330, Confidence: 1.6173850028697276
For condition '529', Best Medicine ID: 48997, Confidence: 1.5658637250878642
For condition '783', Best Medicine ID: 208516, Confidence: 1.6414577860509234
For condition '677', Best Medicine ID: 105807, Confidence: 2.0996993835369175
For condition '371', Best Medicine ID: 8794, Confidence: 1.5038219107204438
For condition '193', Best Medicine ID: 181786, Confidence: 1.6289736289047476
For condition '426', Best Medicine ID: 63000, Confidence: 1.2063514876409507
For condition '689', Best Medicine ID: 200209, Confidence: 1.971016881050177
For condition '577', Best Medicine ID: 38298, Confidence: 1.2896019066758087
For condition '50', Best Medicine ID: 50494, Confidence: 0.6336608171922207
For condition '256', Best Medicine ID: 56969, Confidence: 1.5023545944033652
For condition '574', Best Medicine ID: 75149, Confidence: 1.7349130031446287
For condition '441', Best Medicine ID: 193413, Confidence: 2.163731154421703
For condition '769', Best Medicine ID: 223681, Confidence: 1.8987059227129661
For condition '530', Best Medicine ID: 190720, Confidence: 1.549715178668556
For condition '442', Best Medicine ID: 116083, Confidence: 1.7934141427974937
For condition '139', Best Medicine ID: 113498, Confidence: 0.8044662180046973
For condition '422', Best Medicine ID: 195865, Confidence: 1.6539447273892933
For condition '306', Best Medicine ID: 111388, Confidence: 1.3808279039757916
